ALBAIDAA,102,160,99,10,51,17,6266,6247
ALBAIDAB,90,144,88,11,46,23,4372,4372
P01,11,13,7,4,5,3,3,3
P02,14,33,12,4,7,4,66,66
P03,28,58,25,5,16,5,56,56
P04,17,35,22,3,13,3,45,45
P05,20,35,16,5,8,5,35,35
P06,24,46,20,7,10,6,60,60
P07,23,47,24,3,14,4,89,89
P08,17,40,24,2,15,3,90,90
P09,14,26,14,3,8,3,46,45
P10,12,20,10,4,6,4,41,41
P11,9,14,7,3,5,4,9,9
P12,7,18,5,3,3,2,10,10
P13,7,10,4,3,3,3,5,5
P14,28,79,31,6,18,6,128,128
P15,26,37,19,8,9,8,43,39
P16,31,94,34,7,20,8,113,106
P17,19,44,17,5,8,5,42,39
P18,23,37,16,8,8,5,21,17
P19,33,54,29,7,16,9,90,90
P20,50,98,63,7,38,11,246,246
P21,49,110,67,6,40,9,258,252
P22,50,184,74,6,43,8,474,474
P23,50,158,78,6,48,7,360,360
P24,41,125,55,7,33,8,237,230
D0,16,32,3,2,2,2,109,109
D1,16,31,6,3,3,3,115,115
D2,16,31,9,4,5,5,274,274
D3,16,32,8,3,5,3,172,172
D4,16,31,8,4,4,4,210,210
D5,16,31,12,4,6,3,313,313
D6,16,32,11,5,7,4,166,166
D7,16,31,12,4,6,4,260,260
D8,16,31,16,4,7,4,457,457
D9,36,72,12,8,6,5,160,160
D10,36,72,10,7,5,5,0,0
D11,36,72,17,11,7,6,398,398
D12,36,72,17,8,7,6,280,280
D13,36,72,22,5,11,6,717,662
D14,36,72,30,9,15,11,810,810
D15,36,72,32,6,15,8,702,702
D16,36,72,34,4,17,9,980,965
D17,36,72,38,6,22,11,1115,1070
D18,64,128,28,15,14,9,515,515
D19,64,128,29,11,14,10,509,509
D20,64,128,27,11,15,10,457,457
D21,64,128,47,10,26,13,1000,976
D22,64,128,47,12,26,17,989,989
D23,64,128,51,9,28,14,968,968
D24,64,128,68,6,38,12,1463,1463
D25,64,128,62,9,34,14,1317,1317
D26,64,128,75,5,40,14,1625,1610
D27,100,200,50,22,28,19,549,501
D28,100,200,55,19,30,17,814,786
D29,100,200,51,19,28,15,555,517
D30,100,200,86,13,44,21,1378,1378
D31,100,200,90,10,47,17,1503,1503
D32,100,200,82,16,46,17,1066,1028
D33,100,200,121,9,67,22,2074,2074
D34,100,200,118,9,62,18,1806,1806
D35,100,200,117,9,62,19,1901,1820
G0,16,24,3,3,2,2,0,0
G1,16,24,5,5,4,4,0,0
G2,16,24,4,4,3,3,0,0
G3,16,24,8,5,6,4,2,2
G4,16,24,7,5,6,5,0,0
G5,16,24,7,3,6,3,4,4
G6,16,24,13,4,9,4,9,9
G7,16,24,8,4,6,4,1,1
G8,16,24,9,4,7,4,4,4
G9,36,60,11,7,8,6,2,2
G10,36,60,13,9,9,7,0,0
G11,36,60,15,9,10,6,4,4
G12,36,60,26,7,19,10,15,15
G13,36,60,23,6,16,8,11,11
G14,36,60,25,7,18,7,14,14
G15,36,60,35,5,24,5,26,26
G16,36,60,30,7,21,7,20,20
G17,36,60,34,5,23,7,24,24
G18,64,112,24,10,17,9,8,8
G19,64,112,27,12,19,14,6,6
G20,64,112,27,14,19,10,9,9
G21,64,112,46,8,33,12,32,32
G22,64,112,47,8,34,15,32,31
G23,64,112,50,11,35,15,33,33
G24,64,112,68,4,47,10,57,57
G25,64,112,61,5,41,11,46,46
G26,64,112,66,6,45,12,57,57
G27,100,180,41,19,29,18,14,14
G28,100,180,49,20,35,19,23,22
G29,100,180,44,20,31,19,14,13
G30,100,180,73,13,51,19,50,50
G31,100,180,77,18,53,21,54,54
G32,100,180,82,11,56,19,57,55
G33,100,180,113,4,76,16,92,92
G34,100,180,107,9,72,17,86,86
G35,100,180,109,6,73,17,88,87
R0,20,37,3,3,1,1,1742,1742
R1,20,47,4,4,2,2,4253,3853
R2,20,47,4,3,2,2,5638,5638
R3,20,75,7,4,4,4,18453,18453
R4,20,60,6,3,3,2,17316,17316
R5,30,70,7,4,4,3,298,298
R6,30,111,10,4,5,4,12478,12478
R7,30,70,7,5,4,4,9405,9405
R8,30,111,11,5,6,5,14847,14847
R9,30,111,11,6,6,6,17523,17523
R10,40,130,13,8,6,5,17405,17405
R11,40,103,10,6,5,4,7125,7125
R12,40,82,8,5,4,4,1493,1493
R13,40,203,18,9,7,6,32453,30464
R14,40,203,18,7,7,6,30732,30732
R15,50,203,20,8,9,6,27791,27791
R16,50,162,15,12,7,7,10533,10533
R17,50,130,13,6,6,5,4276,4001
R18,50,203,19,7,8,7,28462,28462
R19,50,203,19,8,8,7,26873,26873
