P01	11	13	7	4	5	3	3	3
P02	14	33	12	4	7	4	66	66
P03	28	58	25	5	16	5	56	56
P04	17	35	22	3	13	3	45	45
P05	20	35	16	5	8	5	35	35
P06	24	46	20	7	10	6	60	60
P07	23	47	24	3	14	4	89	89
P08	17	40	24	2	15	3	90	90
P09	14	26	14	3	8	3	46	45
P10	12	20	10	4	6	4	41	41
P11	9	14	7	3	5	4	9	9
P12	7	18	5	3	3	2	10	10
P13	7	10	4	3	3	3	5	5
P14	28	79	31	6	18	6	128	128
P15	26	37	19	8	9	8	43	39
P16	31	94	34	7	20	8	113	106
P17	19	44	17	5	8	5	42	39
P18	23	37	16	8	8	5	21	17
P19	33	54	29	7	16	9	90	90
P20	50	98	63	7	38	11	246	246
D0	16	32	3	2	2	2	109	109
D1	16	31	6	3	3	3	115	115
D2	16	31	9	4	5	5	274	274
D3	16	32	8	3	5	3	172	172
D4	16	31	8	4	4	4	210	210
D5	16	31	12	4	6	3	313	313
D6	16	32	11	5	7	4	166	166
D7	16	31	12	4	6	4	260	260
D8	16	31	16	4	7	4	457	457
D9	36	72	12	8	6	5	160	160
D10	36	72	10	7	5	5	0	0
D11	36	72	17	11	7	6	398	398
D12	36	72	17	8	7	6	280	280
D13	36	72	22	5	11	6	717	662
D14	36	72	30	9	15	11	810	810
G0	16	24	3	3	2	2	0	0
G1	16	24	5	5	4	4	0	0
G2	16	24	4	4	3	3	0	0
G3	16	24	8	5	6	4	2	2
G4	16	24	7	5	6	5	0	0
G5	16	24	7	3	6	3	4	4
G6	16	24	13	4	9	4	9	9
G7	16	24	8	4	6	4	1	1
G8	16	24	9	4	7	4	4	4
G9	36	60	11	7	8	6	2	2
G10	36	60	13	9	9	7	0	0
G11	36	60	15	9	10	6	4	4
G12	36	60	26	7	19	10	15	15
G13	36	60	23	6	16	8	11	11
G14	36	60	25	7	18	7	14	14
G15	36	60	35	5	24	5	26	26
R0	20	37	3	3	1	1	1742	1742
R1	20	47	4	4	2	2	4253	3853
R2	20	47	4	3	2	2	5638	5638
R3	20	75	7	4	4	4	18453	18453
R4	20	60	6	3	3	2	17316	17316
R5	30	70	7	4	4	3	298	298
R6	30	111	10	4	5	4	12478	12478
R7	30	70	7	5	4	4	9405	9405
R8	30	111	11	5	6	5	14847	14847
R9	30	111	11	6	6	6	17523	17523
R10	40	130	13	8	6	5	17405	17405
